Shoe,Total Player Profit,Net Profit Change,Player Wins,Dealer Wins,Ties
187,5400.0,485.0,5,22,3
188,5315.0,-85.0,4,24,4
189,6190.0,875.0,5,18,4
190,5970.0,-220.0,5,16,6
191,5820.0,-150.0,2,19,5
192,6200.0,380,2,21,2
193,6260.0,60.0,4,21,2
194,6315.0,55.0,1,16,7
195,6675.0,360.0,5,15,7
196,6790.0,115.0,2,18,4
197,7570.0,780.0,2,25,0
198,7200.0,-370,4,23,1
199,6980.0,-220.0,1,22,2
200,7440.0,460.0,6,17,3
201,7510.0,70.0,1,23,2
202,7545.0,35.0,3,21,3
203,7615.0,70.0,1,19,6
204,7105.0,-510.0,5,25,5
205,7470.0,365.0,3,15,8
206,7215.0,-255.0,2,24,2
207,7235.0,20.0,3,18,6
208,7650.0,415.0,8,22,4
209,7735.0,85.0,12,20,3
210,7700.0,-35.0,3,24,4
211,7725.0,25.0,4,21,3
212,7930.0,205.0,8,20,1
213,8290.0,360.0,4,17,3
214,8275.0,-15.0,3,21,1
215,8145.0,-130.0,3,21,3
216,8140.0,-5.0,3,22,4
217,8060.0,-80.0,5,22,6
218,8205.0,145.0,2,19,5
219,8300.0,95.0,1,21,2
220,8725.0,425.0,1,16,5
221,8725.0,0,2,15,5
222,9505.0,780.0,2,16,0
223,9460.0,-45.0,2,19,5
224,9375.0,-85.0,1,18,5
225,9360.0,-15.0,6,20,6
226,9475.0,115.0,6,19,2
227,8205.0,-1270.0,2,26,3
228,7800.0,-405.0,2,20,5
229,8110.0,310.0,2,15,3
230,7910.0,-200,2,21,4
231,7845.0,-65.0,1,24,4
232,7850.0,5.0,2,20,3
233,7970.0,120.0,1,17,1
234,7940.0,-30.0,1,24,2
235,7835.0,-105.0,1,20,4
236,7835.0,0.0,2,20,5
237,7935.0,100.0,5,20,3
238,7930.0,-5.0,9,21,2
239,7900.0,-30.0,5,20,1
